date,vix,term_spread,vix_rolling_z,spike,spike_probability,signal
2017-05-09,9.96000003814697,2.75,-1.35672027403506,1,0.89106244,SPIKE_RISK
2017-05-10,10.210000038147,2.69999980926514,-1.24750757802145,1,0.87762654,SPIKE_RISK
2017-05-11,10.6000003814697,2.40999984741211,-1.08570585979584,1,0.8409784,SPIKE_RISK
2017-05-15,10.4200000762939,2.35999965667725,-1.13965930751084,1,0.8475461,SPIKE_RISK
2017-05-16,10.6499996185303,2.0,-1.04359186260714,1,0.84909254,SPIKE_RISK
2017-05-17,15.5900001525879,0.0100002288818359,0.876585792871415,0,0.20187232,CALM
2017-05-18,14.6599998474121,0.310000419616699,0.513409267575647,0,0.2936365,CALM
2017-05-19,12.039999961853,1.44999980926514,-0.503239674159187,0,0.3295075,CALM
2017-05-22,10.9300003051758,2.02999973297119,-0.929408514075736,0,0.36882177,CALM
2017-05-23,10.7200002670288,2.17999935150146,-1.00454225443188,0,0.15953754,CALM
2017-05-24,10.0200004577637,2.56999969482422,-1.26606383926182,0,0.111737214,CALM
2017-05-25,9.98999977111816,2.52000045776367,-1.26722629857676,0,0.1479588,CALM
2017-05-26,9.8100004196167,2.6299991607666,-1.32526539163737,0,0.23391199,CALM
2017-05-30,10.3800001144409,2.35999965667725,-1.09413579249177,0,0.4829042,CALM
2017-05-31,10.4099998474121,2.22000026702881,-1.08338332153246,0,0.21890014,CALM
2017-06-01,9.89000034332275,2.52999973297119,-1.2869561688317,0,0.18096638,CALM
2017-06-02,9.75,2.71000003814697,-1.34202968957039,0,0.4390908,CALM
2017-06-06,10.4499998092651,2.63000011444092,-1.05411785921473,0,0.20587772,CALM
2017-06-07,10.3900003433228,2.69999980926514,-1.07343074248174,0,0.27643842,CALM
2017-06-08,10.1599998474121,2.60000038146973,-1.16345340767411,0,0.2915002,CALM
2017-06-09,10.6999998092651,2.26000022888184,-0.942260538523467,0,0.30418432,CALM
2017-06-13,10.4200000762939,2.30999946594238,-1.10013234797853,0,0.30760664,CALM
2017-06-14,10.6400003433228,2.13000011444092,-1.0282521678592,0,0.22191164,CALM
2017-06-15,10.8999996185303,2.01000022888184,-0.90145243443236,0,0.25417307,CALM
2017-06-16,10.3800001144409,2.32999992370605,-1.14926094412817,0,0.35212502,CALM
2017-06-19,10.3699998855591,2.02999973297119,-1.14532079360015,0,0.08209676,CALM
2017-06-20,10.8599996566772,1.82999992370605,-0.896164991659498,0,0.32000685,CALM
2017-06-21,10.75,2.01000022888184,-0.94674791903961,0,0.12650849,CALM
2017-06-22,10.4799995422363,2.14000034332275,-1.07174105325822,0,0.09858134,CALM
2017-06-23,10.0200004577637,2.33999919891357,-1.28826821573572,1,0.5256513,SPIKE_RISK
2017-06-27,11.0600004196167,1.89999961853027,-0.75832961336869,0,0.09011805,CALM
2017-06-28,10.0299997329712,2.36999988555908,-1.25545312818253,1,0.5807554,SPIKE_RISK
2017-06-29,11.4399995803833,1.71000003814697,-0.557969852397079,0,0.093373924,CALM
2017-06-30,11.1800003051758,1.96000003814697,-0.681430832314221,0,0.11019329,CALM
2017-07-03,11.2200002670288,2.09000015258789,-0.657999058934173,0,0.07705202,CALM
2017-07-05,11.0699996948242,2.24000072479248,-0.726323802643625,0,0.14833418,CALM
2017-07-06,12.539999961853,1.56999969482422,-0.0084754031871208,0,0.18837884,CALM
2017-07-07,11.1899995803833,2.33000087738037,-0.667311656040409,0,0.14190914,CALM
2017-07-10,11.1099996566772,2.24000072479248,-0.702435572688518,0,0.22778626,CALM
2017-07-12,10.3000001907349,2.47999954223633,-1.08666733425271,0,0.34019586,CALM
2017-07-13,9.89999961853027,2.65000057220459,-1.27090221573585,0,0.2189859,CALM
2017-07-14,9.51000022888184,2.71999931335449,-1.44719047619639,0,0.28840744,CALM
2017-07-17,9.81999969482422,2.46000003814697,-1.28728303191686,0,0.2883742,CALM
2017-07-19,9.78999996185303,2.21000003814697,-1.28420892347991,0,0.32795605,CALM
